id,title,preacher,datetime,mp3,ytube_id,scloud,fire_hard,location,transcript,format,created_at,updated_at,slug,dl_count
140,"The Sinful Nation of France","Pastor Anderson","2015-11-16 01:30:00",,8TzR3CEk73Q,https://soundcloud.com/bible-preaching/2015-11-15p-the-sinful-nation-of-france,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.313786","2017-04-15 21:57:48.345688",the-sinful-nation-of-france,0
141,"Zechariah 03","Pastor Anderson","2015-11-12 02:00:00",,JoHAYzAA2d8,https://soundcloud.com/bible-preaching/2015-11-11p-zechariah-3,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.337917","2017-04-15 21:57:48.364491",zechariah-03,0
142,"Wine in the Bible","Pastor Anderson","2015-11-09 01:30:00",,PvQ8aQd-njw,https://soundcloud.com/bible-preaching/2015-11-08p-wine-in-the-bible,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.370334","2017-04-15 21:57:48.397223",wine-in-the-bible,0
143,"Zechariah 02","Pastor Anderson","2015-11-05 02:00:00",,-tHQTm-QibE,https://soundcloud.com/bible-preaching/2015-11-04p-zechariah-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.424562","2017-04-15 21:57:48.413517",zechariah-02,0
144,"Scientology in Light of the Bible","Pastor Anderson","2015-11-02 01:30:00",,K2VqzK1dNXo,https://soundcloud.com/bible-preaching/2015-11-01p-scientology-in-light-of-the-bible,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.448379","2017-04-15 21:57:48.429325",scientology-in-light-of-the-bible,0
145,"Zechariah 01","Pastor Anderson","2015-10-29 02:00:00",,2htZBR9L5KE,https://soundcloud.com/bible-preaching/2015-10-28p-zechariah-1,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.469874","2017-04-15 21:57:48.445606",zechariah-01,0
146,"A Faithful and Wise Steward","Pastor Anderson","2015-10-26 01:30:00",,Ldv4hlTHhZM,https://soundcloud.com/bible-preaching/2015-10-25p-a-faithful-and-wise-steward,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.497297","2017-04-15 21:57:48.461159",a-faithful-and-wise-steward,0
147,"Christians who Don't Read the Bible","Pastor Jim├⌐nez","2015-10-22 02:00:00",,Q0YQDOEvf3M,https://soundcloud.com/bible-preaching/2015-10-21p-reading-the-bible,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.525951","2017-04-15 21:57:48.479525",christians-who-don-t-read-the-bible,0
148,"Jesus in the Book of Revelation","Pastor Anderson","2015-10-19 01:30:00",,zbD-wPqMC6I,https://soundcloud.com/bible-preaching/2015-10-18p-jesus-in-the-book-of-revelation,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.552370","2017-04-15 21:57:48.496560",jesus-in-the-book-of-revelation,0
149,"Galatians 06","Pastor Anderson","2015-10-15 02:00:00",,x-OxYCQdWgg,https://soundcloud.com/bible-preaching/2015-10-14p-galatians-6,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.577000","2017-04-15 21:57:48.509619",galatians-06,0
150,"Pride vs. Strong Leadership","Pastor Anderson","2015-10-12 01:30:00",,m5EXUNgTKMQ,https://soundcloud.com/bible-preaching/2015-10-11p-pride-vs-strong-leadership,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.605259","2017-04-15 21:57:48.529038",pride-vs-strong-leadership,0
151,"Galatians 05","Pastor Anderson","2015-10-08 02:00:00",,jMNK6aWcD4o,https://soundcloud.com/bible-preaching/2015-10-07p-galatians-5,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.629646","2017-04-15 21:57:48.545243",galatians-05,0
152,"Transhumanism in Light of the Bible","Pastor Anderson","2015-10-05 01:30:00",,5ZMt3mWreRY,https://soundcloud.com/bible-preaching/2015-10-04p-transhumanism-in-light-of-the-bible,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.656524","2017-04-15 21:57:48.561122",transhumanism-in-light-of-the-bible,0
153,"Galatians 04","Pastor Anderson","2015-10-01 02:00:00",,2Z7CQhiHnSc,https://soundcloud.com/bible-preaching/2015-09-30p-galatians-4,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.680735","2017-04-15 21:57:48.576723",galatians-04,0
154,"Desiring to be Seen of Men","Pastor Anderson","2015-09-28 01:30:00",,CQXqLoQKRco,https://soundcloud.com/bible-preaching/2015-09-27p-desiring-to-be-seen-of-men,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.708358","2017-04-15 21:57:48.592687",desiring-to-be-seen-of-men,0
155,"Looking Forward to the Cross","Bro Tyler Baker","2015-09-24 02:00:00",,wm7A82k-XBM,https://soundcloud.com/bible-preaching/2015-09-23p-looking-forward-to-the-cross,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.738731","2017-04-15 21:57:48.609327",looking-forward-to-the-cross,0
156,"Raising Godly Children","Pastor Anderson","2015-09-21 01:30:00",,HhhD4ht0MS0,https://soundcloud.com/bible-preaching/2015-09-20p-raising-godly-children,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.765702","2017-04-15 21:57:48.625099",raising-godly-children,0
157,"Galatians 03","Pastor Anderson","2015-09-17 02:00:00",,i1wtf0eOFIY,https://soundcloud.com/bible-preaching/2015-09-16p-galatians-3,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.792655","2017-04-15 21:57:48.640808",galatians-03,0
158,"Jonah Chapters 3-4","Pastor Anderson","2015-09-14 01:30:00",,IqV7v0AmqX4,https://soundcloud.com/bible-preaching/2015-09-13p-jonah-3-4,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.820588","2017-04-15 21:57:48.680721",jonah-chapters-3-4,0
159,"Galatians 02","Pastor Anderson","2015-09-10 02:00:00",,rpz8r2KJOm8,https://soundcloud.com/bible-preaching/2015-09-09p-galatians-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.842978","2017-04-15 21:57:48.695591",galatians-02,0
160,"Biblical Marriage Advice","Pastor Anderson","2015-09-07 01:30:00",,w3KOPQ6IJDQ,https://soundcloud.com/bible-preaching/2015-09-06p-biblical-marriage-advice,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.866185","2017-04-15 21:57:48.711839",biblical-marriage-advice,0
161,"Galatians 01","Pastor Anderson","2015-09-03 02:00:00",,nbr_07g5YWE,https://soundcloud.com/bible-preaching/2015-09-02p-galatians-1,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.889431","2017-04-15 21:57:48.727832",galatians-01,0
162,"Like a Net Cast into the Sea","Pastor Anderson","2015-08-31 01:30:00",,b9j6wuS_lJo,https://soundcloud.com/bible-preaching/2015-08-30p-like-a-net-cast-into-the-sea,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.913102","2017-04-15 21:57:48.744436",like-a-net-cast-into-the-sea,0
163,"Go Big or Go Home!","Pastor Anderson","2015-08-29 02:00:00",,qqTAGgV3XKs,https://soundcloud.com/bible-preaching/2015-08-28-go-big-or-go-home,t,SBC,,Preaching,"2017-04-14 00:58:38.940583","2017-04-14 00:58:38.940583",go-big-or-go-home,0
164,"2 Thessalonians 03","Pastor Anderson","2015-08-27 02:00:00",,0x3lr7Ea77U,https://soundcloud.com/bible-preaching/2015-08-26p-2-thessalonians-3,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:38.985226","2017-04-15 21:57:48.760625",2-thessalonians-03,0
165,"Departing from the Faith in the Latter Times","Pastor Anderson","2015-08-24 01:30:00",,_Z1GjWcwJ3s,https://soundcloud.com/bible-preaching/2015-08-23p-departing-from-the-faith-in-the-latter-times,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.007960","2017-04-15 21:57:48.777495",departing-from-the-faith-in-the-latter-times,0
166,"2 Thessalonians 02","Pastor Anderson","2015-08-20 02:00:00",,MUtaiojKdSI,https://soundcloud.com/bible-preaching/2015-08-19p-2-thessalonians-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.032259","2017-04-15 21:57:48.792929",2-thessalonians-02,0
167,"An Overview of the Entire Bible","Pastor Anderson","2015-08-17 01:30:00",,M42aQEBu1YI,https://soundcloud.com/bible-preaching/2015-08-16p-the-entire-bible-an-overview,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.056752","2017-04-15 21:57:48.811998",an-overview-of-the-entire-bible,0
168,"2 Thessalonians 01","Pastor Anderson","2015-08-13 02:00:00",,rh2W0fKsp-U,https://soundcloud.com/bible-preaching/2015-08-12p-2-thessalonians-1,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.082143","2017-04-15 21:57:48.829428",2-thessalonians-01,0
169,"Ye are God's Building","Pastor Anderson","2015-08-10 01:30:00",,qUNEoZcGJHU,https://soundcloud.com/bible-preaching/2015-08-09p-ye-are-gods-building,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.105204","2017-04-15 21:57:48.845326",ye-are-god-s-building,0
170,"1 Thessalonians 05","Pastor Anderson","2015-08-06 02:00:00",,vTKx76zG23U,https://soundcloud.com/bible-preaching/2015-08-05p-1-thessalonians-5,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.128614","2017-04-15 21:57:48.861270",1-thessalonians-05,0
171,"The Ark is Not the Problem","Pastor Anderson","2015-08-03 01:30:00",,DM1db601P7U,https://soundcloud.com/bible-preaching/2015-08-02p-the-ark-is-not-the-problem,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.152246","2017-04-15 21:57:48.880955",the-ark-is-not-the-problem,0
172,"1 Thessalonians 04","Pastor Anderson","2015-07-30 02:00:00",,FAI4vu3KAXQ,https://soundcloud.com/bible-preaching/2015-07-29p-1-thessalonians-4,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.176320","2017-04-15 21:57:48.896991",1-thessalonians-04,0
173,"Your Body is the Temple","Pastor Anderson","2015-07-27 01:30:00",,2CyUBFTCwYk,https://soundcloud.com/bible-preaching/2015-07-26p-your-body-is-the-temple-of-the-holy-ghost,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.203057","2017-04-15 21:57:48.912896",your-body-is-the-temple,0
174,"1 Thessalonians 03","Pastor Anderson","2015-07-23 02:00:00",,_yW2SSbgmlg,https://soundcloud.com/bible-preaching/2015-07-22p-1-thessalonians-3,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.227139","2017-04-15 21:57:48.928663",1-thessalonians-03,0
175,"Avoiding Adultery","Pastor Anderson","2015-07-20 01:30:00",,RhqTeGL2gdU,https://soundcloud.com/bible-preaching/2015-07-19p-adultery,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.252079","2017-04-15 21:57:48.944845",avoiding-adultery,0
176,"1 Thessalonians 02","Pastor Anderson","2015-07-16 02:00:00",,iY0HAPxCo7M,https://soundcloud.com/bible-preaching/2015-07-15p-1-thessalonians-2,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:39.277653","2017-04-15 21:57:48.960713",1-thessalonians-02,0
